POST /public/media-manager/project/:project/rename | allow_with_deprecation_header_and_write_key | P1C.3
POST /public/media-manager/project/:project/apply-template | allow_with_deprecation_header_and_write_key | P1C.3
POST /public/media-manager/projects | allow_with_deprecation_header_and_write_key | P1C.3
POST /public/media-manager/project/:project/setup | allow_with_deprecation_header_and_write_key | P1C.3
POST /public/media-manager/project/:project/team | allow_with_deprecation_header_and_write_key | P1C.3
POST /public/media-manager/project/:project/campaigns | allow_with_deprecation_header_and_write_key | P1C.3
PATCH /public/media-manager/project/:project/campaigns/:campaignId | allow_with_deprecation_header_and_write_key | P1C.3
POST /public/media-manager/project/:project/content-items | allow_with_deprecation_header_and_write_key | P1C.3
PATCH /public/media-manager/project/:project/content-items/:contentItemId | allow_with_deprecation_header_and_write_key | P1C.3
POST /public/media-manager/project/:project/media-jobs | allow_with_deprecation_header_and_write_key | P1C.3
PATCH /public/media-manager/project/:project/media-jobs/:mediaJobId | allow_with_deprecation_header_and_write_key | P1C.3
POST /public/media-manager/project/:project/ai/command | allow_with_deprecation_header_and_write_key | P1C.3
POST /public/media-manager/project/:project/ai/chat | allow_with_deprecation_header_and_write_key | P1C.3
POST /public/media-manager/project/:project/ai/guidance | allow_with_deprecation_header_and_write_key | P1C.3
POST /public/media-manager/project/:project/tasks | allow_with_deprecation_header_and_write_key | P1C.3
PATCH /public/media-manager/project/:project/notifications/:notificationId | allow_with_deprecation_header_and_write_key | P1C.3
POST /public/media-manager/project/:project/handoffs | allow_with_deprecation_header_and_write_key | P1C.3
POST /public/media-manager/project/:project/handoffs/:handoffId/consume | allow_with_deprecation_header_and_write_key | P1C.3
