GET /public/media-manager/project/:project/storage/parity-readiness | compatibility_keep_temporarily | P1C.4
GET /public/media-manager/storage/parity-readiness | compatibility_keep_temporarily | P1C.4
GET /public/media-manager/projects | compatibility_keep_temporarily | P1C.4
GET /public/media-manager/asset-catalog | compatibility_keep_temporarily | P1C.4
GET /public/media-manager/project/:project/startup | compatibility_keep_temporarily | P1C.4
GET /public/media-manager/project/:project | compatibility_keep_temporarily | P1C.4
GET /public/media-manager/project/:project/operations | compatibility_keep_temporarily | P1C.4
GET /public/media-manager/project/:project/task-center | compatibility_keep_temporarily | P1C.4
GET /public/media-manager/project/:project/queue-center | compatibility_keep_temporarily | P1C.4
GET /public/media-manager/project/:project/job-monitor | compatibility_keep_temporarily | P1C.4
GET /public/media-manager/project/:project/notification-center | compatibility_keep_temporarily | P1C.4
GET /public/media-manager/project/:project/operations/schema | compatibility_keep_temporarily | P1C.4
GET /public/media-manager/project/:project/team | compatibility_keep_temporarily | P1C.4
GET /public/media-manager/project/:project/campaigns | compatibility_keep_temporarily | P1C.4
GET /public/media-manager/project/:project/campaigns/:campaignId | compatibility_keep_temporarily | P1C.4
GET /public/media-manager/project/:project/content-items | compatibility_keep_temporarily | P1C.4
GET /public/media-manager/project/:project/content-items/:contentItemId | compatibility_keep_temporarily | P1C.4
GET /public/media-manager/project/:project/media-jobs | compatibility_keep_temporarily | P1C.4
GET /public/media-manager/project/:project/media-jobs/:mediaJobId | compatibility_keep_temporarily | P1C.4
GET /public/media-manager/project/:project/workflows/runs | compatibility_keep_temporarily | P1C.4
GET /public/media-manager/project/:project/workflows/runs/:runId | compatibility_keep_temporarily | P1C.4
GET /public/media-manager/project/:project/ai/commands | compatibility_keep_temporarily | P1C.4
GET /public/media-manager/project/:project/ai/commands/:commandId | compatibility_keep_temporarily | P1C.4
GET /public/media-manager/project/:project/ai/artifacts | compatibility_keep_temporarily | P1C.4
GET /public/media-manager/project/:project/ai/recommendations | compatibility_keep_temporarily | P1C.4
GET /public/media-manager/project/:project/tasks | compatibility_keep_temporarily | P1C.4
GET /public/media-manager/project/:project/tasks/:taskId | compatibility_keep_temporarily | P1C.4
GET /public/media-manager/project/:project/approvals | compatibility_keep_temporarily | P1C.4
GET /public/media-manager/project/:project/notifications | compatibility_keep_temporarily | P1C.4
GET /public/api/insights/:project | compatibility_keep_temporarily | P1C.4
GET /public/api/learning/:project | compatibility_keep_temporarily | P1C.4
GET /public/media-manager/project/:project/native-media/providers | compatibility_keep_temporarily | P1C.4
GET /public/media-manager/project/:project/native-media/providers/readiness | compatibility_keep_temporarily | P1C.4
