Product ID,SKU,Product Name,Category,Product Type,Size,EAN / Barcode,Units / Carton,Retail Price Brutto EUR,Retail Price Netto EUR,Dealer Basic Netto EUR,Dealer Plus Netto EUR,Authorizer Netto EUR,Dealer Price Netto EUR,VAT Rate,B2C Price Includes VAT,B2B Price Excludes VAT,Commission Base,Stand/Affiliate/Sales Rep Commission %,Status,Notes
P001,HMT-001-BEAKIT6IN,Beard Kit 6-in-1,Beard Care Kit,Kit / Bundle,50 ML,6291108193648,30,66.47,55.86,35.42,33.34,31.25,35.42,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P002,HMT-002-BEAKIT3IN,Beard Kit 3-in-1,Beard Care Kit,Kit / Bundle,50 ML,6291109760504,60,32.59,27.39,15.36,13.56,13.56,15.36,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P003,HMT-003-BEAOIL50MMAG,BEARD OIL 50ML magnet box,Beard Care,Oil,50 ML,6291108190364,48,17.99,15.12,8.29,7.81,7.32,8.29,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P004,HMT-004-BEAOIL50MNOR,BEARD OIL 50ML normal box,Beard Care,Oil,50 ML,,360,14.30,12.02,5.4,5.09,4.77,5.4,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P005,HMT-005-BEASHA150,Beard Shampoo 150Ml,Beard Care,Shampoo,150 ML,6291108190388,48,8.30,6.97,4.64,4.37,4.09,4.64,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P006,HMT-006-BEATON150,Beard Tonic 150Ml,Beard Care,Tonic,150 ML,6291108190395,48,8.99,7.55,4.89,4.61,4.32,4.89,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P007,HMT-007-SILVEL150,Silicon Velvet 150Ml,General Grooming,Product,150 ML,6291108190371,48,16.90,14.20,9.65,9.09,8.52,9.65,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P008,HMT-008-BEABAL50M,Beard Balm 50Ml,Beard Care,Balm,50 ML,6291108190401,240,9.99,8.39,5.32,5.01,4.69,5.32,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P009,HMT-009-BEABRU,Beard Brush,Beard Care,Tool,,,0,7.99,6.71,5.51,5.18,4.86,5.51,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P010,HMT-010-SHAGELADR500,Shaving Gel Adrenaline 500 Ml,Shaving,Shaving Gel,500 ML,6291108190920,264,8.50,7.14,4.1,3.85,3.61,4.1,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P011,HMT-011-SHAGELADR110,Shaving Gel Adrenaline 1100 Ml,Shaving,Shaving Gel,1100 ML,6291108190265,120,13.50,11.34,6.78,6.38,5.98,6.78,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P012,HMT-012-SHAGELCODRED,Shaving Gel Code Red 500 Ml,Shaving,Shaving Gel,500 ML,6291109356530,240,8.50,7.14,4.1,3.85,3.61,4.1,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P013,HMT-013-SHAGELCODRED,Shaving Gel Code Red 1100 Ml,Shaving,Shaving Gel,1100 ML,6291109353256,228,13.50,11.34,6.78,6.38,5.98,6.78,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P014,HMT-014-SHAGELDEESKY,Shaving Gel Deep Sky 500 Ml,Shaving,Shaving Gel,500 ML,6291108190906,240,8.50,7.14,4.1,3.85,3.61,4.1,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P015,HMT-015-SHAGELDEESKY,Shaving Gel Deep Sky 1100 Ml,Shaving,Shaving Gel,1100 ML,6291108190241,180,13.50,11.34,6.78,6.38,5.98,6.78,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P016,HMT-016-SHAGELDIA500,Shaving Gel Diamond 500 Ml,Shaving,Shaving Gel,500 ML,6291109356547,240,8.50,7.14,4.1,3.85,3.61,4.1,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P017,HMT-017-SHAGELDIA110,Shaving Gel Diamond 1100 Ml,Shaving,Shaving Gel,1100 ML,6291109353287,120,13.50,11.34,6.78,6.38,5.98,6.78,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P018,HMT-018-SHAGELEXO500,Shaving Gel Exotic 500 Ml,Shaving,Shaving Gel,500 ML,6291108190296,216,8.50,7.14,4.1,3.85,3.61,4.1,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P019,HMT-019-SHAGELEXO110,Shaving Gel Exotic 1100 Ml,Shaving,Shaving Gel,1100 ML,6291108190258,120,13.50,11.34,6.78,6.38,5.98,6.78,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P020,HMT-020-SHAGELGOLSAN,Shaving Gel Golden Sands 500 Ml,Shaving,Shaving Gel,500 ML,6291108197431,240,8.50,7.14,4.1,3.85,3.61,4.1,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
